Score TotalReward Length
431	4015	10
245	2365	7
358	2330	8
1663	16135	30
984	8050	18
1011	7805	18
563	3845	11
1162	13320	23
34	740	4
574	6640	13
PHASE 3 previous
620	4710	12
340	5320	10
-51	525	3
468	3920	10
268	1700	7
2055	16815	34
1203	6835	19
-36	-150	3
909	6235	16
446	2520	9
265	1905	7
ALPHA02 GAMMA08
454	5160	11
109	1295	5
1564	13080	27
1221	8085	20
1895	13755	30
75	1685	5
145	825	5
1175	11455	22
796	6150	15
