-61	75	3
-1	-75	3
-1	-75	3
-25	-255	3
-28	-150	3
-1	-75	3
-1	-75	3
-36	-150	3
-1	-75	3
-19	-165	3
-1	-75	3
-27	-75	3
-1	-75	3
-1	-75	3
-13	-75	3
-1	-75	3
-1	-75	3
-39	-105	3
-1	-75	3
-15	15	3
53	85	4
-1	-75	3
-1	-75	3
-28	-210	3
-1	-75	3
-47	-285	3
-1	-75	3
64	-20	4
-11	-105	3
43	-125	4
-1	-75	3
-1	-75	3
-10	-120	3
-1	-75	3
-1	-75	3
-23	15	3
-9	-135	3
-1	-75	3
-1	-75	3
-9	-45	3
-37	-75	3
-1	-75	3
-1	-75	3
-1	-75	3
-6	-150	3
73	115	4
-1	-75	3
-28	-150	3
-1	-75	3
-36	-300	3
-1	-75	3
-14	-180	3
-13	-165	3
-1	-75	3
-12	-180	3
-1	-75	3
-9	-165	3
-10	60	3
-28	-90	3
-12	-150	3
-1	-75	3
-1	-75	3
-42	-240	3
-39	-45	3
-1	-75	3
-1	-75	3
-1	-75	3
-21	-45	3
-15	45	3
-48	0	3
-1	-75	3
-1	-75	3
-1	-75	3
-13	-225	3
-25	-45	3
-1	-75	3
-1	-75	3
-1	-75	3
-20	-270	3
-28	-90	3
-55	-225	3
-1	-75	3
-36	-210	3
-19	-225	3
-1	-75	3
-1	-75	3
-1	-75	3
-1	-75	3
-1	-75	3
-1	-75	3
-1	-75	3
-29	-225	3
-1	-75	3
-1	-75	3
-17	-135	3
-1	-75	3
-36	-180	3
-1	-75	3
-1	-75	3
-1	-75	3
-19	-225	3
-1	-75	3
-6	0	3
-13	-135	3
-1	-75	3
-1	-75	3
-12	-90	3
-17	-135	3
-101	-195	3
-25	-255	3
-19	-135	3
-1	-75	3
-7	-105	3
-46	-150	3
78	-20	4
-1	-75	3
80	130	4
-22	-270	3
-17	-195	3
-36	-120	3
-1	-75	3
-1	-75	3
-1	-75	3
-1	-75	3
-1	-75	3
-1	-75	3
-1	-75	3
-1	-75	3
-1	-75	3
-1	-75	3
-55	-105	3
-1	-75	3
-1	-75	3
-12	0	3
-30	-120	3
-22	-180	3
-1	-75	3
-1	-75	3
-1	-75	3
-1	-75	3
-1	-75	3
-34	-90	3
-16	90	3
-1	-75	3
